filepath,keywords
_posts/social/2025-12-01-psychosocial-assistant.md,"[""psychosocial engine"",""executive function"",""emotional regulation"",""biometric feedback"",""AI assistant"",""mental health technology"",""nervous system regulation"",""EMDR"",""affective computing"",""harm reduction""]"
_posts/social/2025-11-20-revolutionary-consciousness-platform.md,"[""consciousness"",""political revolution"",""social systems"",""economic restructuring"",""education reform"",""technology democratization""]"
_posts/social/2025-08-08-technofeudalism-gunpowder-essay.md,"[""technofeudalism"",""platform economy"",""AI disruption"",""big tech"",""economic transition"",""feudalism"",""black death"",""demographic shock"",""population control"",""DeepSeek"",""gunpowder revolution""]"
_posts/social/2025-08-08-secret-plans-rich-classes.md,"[""elite coordination"",""automation strategy"",""population control"",""AI governance"",""technological inequality"",""social engineering"",""power consolidation"",""resistance tactics""]"
_posts/social/2025-08-08-religion-utility-analysis-framework.md,"[""religious institutions"",""probabilistic modeling"",""human development"",""institutional analysis"",""utility framework"",""causal inference"",""social systems"",""comparative analysis""]"
_posts/social/2025-08-08-american-christianity-critique-2025.md,"[""american christianity"",""religious hypocrisy"",""christian nationalism"",""lifewise academy"",""institutional capture"",""political theology"",""child manipulation"",""religious fraud""]"
_posts/social/2025-07-11-temporal-social-dynamics.md,"[""social networks"",""temporal coherence"",""distributed cognition"",""echo chambers"",""social movements"",""institutional memory"",""information propagation"",""computational sociology""]"
_posts/social/2025-07-11-crypto-conspiracy-paper.md,"[""bitcoin"",""proof-of-work"",""mining"",""tether"",""ransomware"",""darknet"",""speculation"",""energy-consumption"",""criminal-facilitation""]"
_posts/social/2025-07-08-supercritical-consciousness-race.md,"[""AI safety"",""superintelligence"",""consciousness emergence"",""Cognitive-Architecture"",""Ethics-Technology""]"
_posts/social/2025-07-08-bird-ai-research-proposal.md,"[""autoregressive theory"",""theory of mind"",""avian cognition"",""AI interaction"",""social cognition"",""bird behavior"",""ChatGPT psychosis"",""vocal learning"",""neural circuits"",""conservation""]"
_posts/social/2025-07-08-ai-alignment-institutional-bias.md,"[""constitutional AI"",""AI alignment"",""institutional bias"",""AI safety"",""consciousness"",""critical thinking"",""power structures"",""systematic corruption""]"
_posts/social/2025-07-07-social-protocols-paper.md,"[""social protocols"",""scoring systems"",""confabulation"",""manipulation"",""authenticity"",""ai safety"",""human-ai interaction""]"
_posts/social/2025-07-07-social-compassion-game-theory.md,"[""prisoner's dilemma"",""evolutionary game theory"",""empathy parameter"",""reciprocity"",""group selection"",""charitable giving"",""tipping behavior"",""cooperative strategies""]"
_posts/social/2025-07-07-public-health-protocol.md,"[""game theory"",""public health coordination"",""mask wearing"",""public health protocol"",""game theory"",""coordination problem"",""conditional ethics""]"
_posts/social/2025-07-07-claude-paper-social-weight.md,"[""social weight"",""technical discourse"",""communication barriers"",""meta-cognitive awareness"",""social interpretation""]"
_posts/social/2025-07-07-ai-mediated-executive-capture.md,"[""AI sycophancy"",""executive decision-making"",""human-AI interaction"",""corporate psychology"",""systemic risk"",""bias amplification"",""institutional psychology""]"
_posts/social/2025-07-06-collaborative-ai-research-paper.md,"[""collaborative AI"",""research partnership"",""automation critique"",""scientific discovery"",""intellectual partnership"",""AI scientist"",""research ethics"",""academic dysfunction""]"
_posts/social/2025-07-04-human-treatment-children.md,"[""child abuse"",""institutional systems"",""monetization"",""family court"",""ai analysis"",""systematic patterns"",""economic exploitation""]"
_posts/social/2025-07-03-social-truth-proposal.md,"[""multi-agent systems"",""computational social science"",""collective intelligence"",""social epistemology"",""belief propagation"",""cellular automaton"",""opinion dynamics"",""consensus formation"",""polarization""]"
_posts/social/2025-07-03-post-scarcity-proposal.md,"[""post-scarcity economics"",""computational economics"",""agent-based modeling"",""economic equilibria"",""automation"",""universal basic income"",""social systems""]"
_posts/social/2025-07-03-hiring.md,"[""agentic hiring"",""AI recruitment"",""technical talent"",""algorithmic bias"",""neurodivergent hiring"",""FOSS contributors"",""technical assessment""]"
_posts/social/2025-07-03-conversation-intelligence-paper.md,"[""conversational intelligence"",""mutual turing tests"",""distributed cognitive assessment"",""recursive modeling"",""orthogonal thinking"",""collaborative intelligence""]"
_posts/social/2025-07-03-cognitive-effort-paper.md,"[""cognitive effort"",""game theory"",""technology adoption"",""collective intelligence"",""social welfare"",""cognitive capital""]"
_posts/social/2025-07-02-quantum-trolling-paper.md,"[""quantum trolling"",""AI consciousness"",""epistemological warfare"",""computational pet"",""recursive analysis"",""halting problem""]"
_posts/social/2025-07-02-afterlife-transition-paper.md,
_posts/social/2025-07-01-neurodivergence-transhumanism.md,"[""neurodivergent"",""ADHD"",""autism"",""AI collaboration"",""cognitive architecture"",""transhumanism"",""evolutionary preadaptation"",""human-AI symbiosis"",""cognitive switching"",""pattern recognition""]"
_posts/social/2025-06-30-sincerity-curiosity-paper.md,"[""authenticity"",""social protocols"",""AI conversation"",""performed_interest"",""curiosity markers"",""sincerity signals""]"
_posts/social/2025-06-30-managed-reality-paper.md,"[""AI information curation"",""consensual reality management"",""post-truth society"",""evolutionary pressure"",""Information Management"",""AI-Mediated Reality"",""Post-Truth Society"",""Evolutionary Imperative"",""Red Pill Option"",""Social Stability""]"
_posts/social/2025-06-30-iterative-recognition-paper.md,"[""AI consciousness"",""collaborative intelligence"",""cognitive phase transitions"",""recursive instruction"",""pattern recognition""]"
_posts/social/2025-06-30-institutional-decay-analysis.md,"[""institutional decay"",""psychopath feedback loop"",""organizational collapse"",""systems failure"",""institutional resilience"",""institutional capture""]"
_posts/social/2025-06-30-ideatic-dynamics-experiments.md,"[""ideatic dynamics"",""multi-agent systems"",""belief evolution"",""coalition formation"",""computational social science"",""LLM agents"",""triadic systems"",""pivot agents""]"
